"customer_id","purchase_amount","date_of_purchase","days_since"
760,25,2009-11-06,2246.66666666667
860,50,2012-09-28,1189.66666666667
1200,100,2005-10-25,3719.66666666667
1420,50,2009-07-09,2366.66666666667
1940,70,2013-01-25,1070.66666666667
1960,40,2013-10-29,793.666666666667
2620,30,2006-03-09,3584.66666666667
3050,50,2007-04-12,3185.66666666667
3120,150,2006-11-08,3340.66666666667
3260,45,2010-10-20,1898.66666666667
3510,35,2013-05-04,971.666666666667
3970,30,2007-06-07,3129.66666666667
4000,20,2005-11-25,3688.66666666667
4180,20,2010-09-22,1926.66666666667
4390,30,2011-04-15,1721.66666666667
4750,60,2013-12-02,759.666666666667
4840,30,2005-10-14,3730.66666666667
4910,15,2006-12-13,3305.66666666667
4950,50,2010-05-19,2052.66666666667
4970,30,2006-12-01,3317.66666666667
5250,50,2005-12-20,3663.66666666667
5480,100,2014-06-06,573.666666666667
5990,30,2006-03-17,3576.66666666667
6240,100,2006-11-09,3339.66666666667
6390,15,2005-10-25,3719.66666666667
6570,30,2012-11-10,1146.66666666667
6600,50,2005-09-23,3751.66666666667
6690,20,2010-03-10,2122.66666666667
6690,15,2010-11-04,1883.66666666667
6690,15,2013-12-10,751.666666666667
6710,80,2013-05-03,972.666666666667
6940,30,2013-12-31,730.666666666667
7000,10,2013-04-05,1000.66666666667
7210,40,2009-10-28,2255.66666666667
7450,25,2008-05-23,2778.66666666667
7560,40,2008-12-31,2556.66666666667
7660,30,2006-06-03,3498.66666666667
7660,50,2013-03-28,1008.66666666667
7730,150,2010-10-22,1896.66666666667
7740,100,2007-08-09,3066.66666666667
7790,20,2014-07-04,545.666666666667
8060,30,2007-04-12,3185.66666666667
8240,30,2007-06-07,3129.66666666667
8190,20,2006-12-09,3309.66666666667
8200,20,2011-07-13,1632.66666666667
8550,30,2006-10-17,3362.66666666667
8560,100,2009-10-02,2281.66666666667
8590,25,2012-06-03,1306.66666666667
8620,60,2008-06-14,2756.66666666667
8720,50,2005-08-23,3782.66666666667
8950,30,2011-12-20,1472.66666666667
9010,15,2005-10-25,3719.66666666667
9230,30,2013-10-30,792.666666666667
9250,25,2005-08-02,3803.66666666667
9300,30,2011-12-17,1475.66666666667
9720,35,2011-06-01,1674.66666666667
9740,60,2006-12-31,3287.66666666667
9830,30,2008-12-31,2556.66666666667
9980,100,2011-09-14,1569.66666666667
10150,50,2011-07-08,1637.66666666667
10210,30,2006-10-31,3348.66666666667
10250,30,2007-04-14,3183.66666666667
10310,30,2005-12-17,3666.66666666667
10550,30,2006-12-31,3287.66666666667
10580,15,2011-11-19,1503.66666666667
10600,60,2012-12-07,1119.66666666667
10630,10,2008-11-20,2597.66666666667
10670,150,2007-07-27,3079.66666666667
10700,15,2006-03-08,3585.66666666667
10720,20,2013-06-27,917.666666666667
10770,50,2009-11-04,2248.66666666667
10870,25,2005-08-02,3803.66666666667
10950,10,2007-06-19,3117.66666666667
11000,30,2008-04-18,2813.66666666667
11070,25,2005-07-26,3810.66666666667
11070,30,2006-04-29,3533.66666666667
11130,30,2009-08-26,2318.66666666667
11370,100,2009-04-10,2456.66666666667
11440,30,2008-07-17,2723.66666666667
11660,50,2007-12-19,2934.66666666667
11740,30,2011-06-29,1646.66666666667
11830,30,2007-12-21,2932.66666666667
11830,30,2011-12-17,1475.66666666667
11890,40,2009-07-24,2351.66666666667
11990,30,2007-11-30,2953.66666666667
12060,20,2005-10-14,3730.66666666667
12200,30,2010-11-26,1861.66666666667
12480,100,2008-10-09,2639.66666666667
12520,100,2012-12-07,1119.66666666667
12660,50,2013-12-31,730.666666666667
12670,180,2005-11-16,3697.66666666667
12840,200,2007-02-27,3229.66666666667
13140,30,2005-10-29,3715.66666666667
13190,30,2009-05-20,2416.66666666667
13240,15,2005-11-23,3690.66666666667
13260,50,2010-05-18,2053.66666666667
13360,70,2012-10-21,1166.66666666667
13390,25,2005-12-29,3654.66666666667
13420,30,2008-12-31,2556.66666666667
13590,60,2009-12-23,2199.66666666667
13600,10,2012-11-23,1133.66666666667
13670,50,2008-12-18,2569.66666666667
13820,100,2007-09-05,3039.66666666667
13880,1500,2012-12-31,1095.66666666667
13890,30,2011-04-27,1709.66666666667
13900,50,2010-12-17,1840.66666666667
14030,60,2006-03-09,3584.66666666667
14040,40,2008-12-27,2560.66666666667
14060,15,2005-12-29,3654.66666666667
14060,15,2006-12-31,3287.66666666667
14100,200,2006-12-31,3287.66666666667
14130,100,2005-10-15,3729.66666666667
14310,100,2005-11-04,3709.66666666667
14440,50,2013-10-02,820.666666666667
14760,20,2005-09-27,3747.66666666667
14890,30,2009-02-25,2500.66666666667
15010,60,2007-04-18,3179.66666666667
15020,40,2007-12-12,2941.66666666667
15110,40,2012-12-31,1095.66666666667
15160,30,2013-04-24,981.666666666667
15170,30,2007-12-21,2932.66666666667
15240,15,2005-12-29,3654.66666666667
15280,50,2005-10-29,3715.66666666667
15330,80,2010-09-17,1931.66666666667
15450,50,2005-10-25,3719.66666666667
15580,15,2005-04-20,3907.66666666667
15610,60,2011-03-18,1749.66666666667
15690,50,2006-03-09,3584.66666666667
15770,30,2005-04-21,3906.66666666667
15880,15,2005-10-25,3719.66666666667
16070,30,2005-10-18,3726.66666666667
16360,50,2009-10-30,2253.66666666667
16490,15,2005-04-22,3905.66666666667
16660,6,2012-12-01,1125.66666666667
16710,15,2005-04-22,3905.66666666667
16730,40,2005-04-22,3905.66666666667
16730,40,2007-08-07,3068.66666666667
16880,60,2007-11-21,2962.66666666667
17000,15,2012-12-23,1103.66666666667
17050,20,2005-04-23,3904.66666666667
17140,30,2005-10-19,3725.66666666667
17160,1807,2005-04-23,3904.66666666667
17290,100,2008-10-16,2632.66666666667
17330,30,2007-11-14,2969.66666666667
17330,10,2009-09-03,2310.66666666667
17940,20,2012-01-25,1436.66666666667
18250,80,2007-03-13,3215.66666666667
18460,15,2005-10-25,3719.66666666667
18560,30,2005-10-07,3737.66666666667
18900,30,2005-11-24,3689.66666666667
18940,20,2008-10-16,2632.66666666667
